                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.5608,                 3.0077,                0.21651,                 1.1811,                 1.6187,                0.42665,                0.42857,                0.37088,                0.21407,                0.19273,                0.21429,                0.06379,                0.00976,                 1.7341,                 8.0268,                0.66058,                 2.6511,                 1.7037,             0.00045118,             0.00045118,             0.00045118
                     69,                 1.3655,                 3.6624,                0.39489,                0.97847,                 1.3042,                0.39298,                0.42857,                  0.362,                0.20258,                 0.3178,                0.07143,                0.04532,                0.00798,                 1.6682,                 8.0577,                0.64266,                 2.7244,                 1.6635,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.0461,                 4.4593,                0.45238,                0.85196,                 1.1179,                0.39298,                0.42857,                  0.362,                0.20258,                 0.3178,                0.07143,                0.04532,                0.00798,                 1.6682,                 8.0577,                0.64266,                 2.7244,                 1.6635,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.0862,                 3.9152,                0.25418,                0.85033,                 1.1856,                0.39298,                0.42857,                  0.362,                0.20258,                 0.3178,                0.07143,                0.04532,                0.00798,                 1.6682,                 8.0577,                0.64266,                 2.7244,                 1.6635,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.1737,                  3.501,                0.34926,                0.77522,                  1.214,                 0.3957,                0.42857,                0.35667,                0.22672,                0.22991,                0.14286,                0.07126,                0.00846,                 1.6644,                 8.2104,                0.64677,                 2.7389,                 1.6642,             0.00042188,             0.00042188,             0.00042188
                     73,                0.97506,                  3.362,                0.34777,                0.74993,                 1.1037,                 0.3957,                0.42857,                0.35667,                0.22672,                0.22991,                0.14286,                0.07126,                0.00846,                 1.6644,                 8.2104,                0.64677,                 2.7389,                 1.6642,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.1094,                  3.152,                0.36068,                0.83612,                 1.2005,                 0.3957,                0.42857,                0.35667,                0.22672,                0.22991,                0.14286,                0.07126,                0.00846,                 1.6644,                 8.2104,                0.64677,                 2.7389,                 1.6642,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.0507,                 2.3373,                0.23242,                0.80714,                 1.2084,                 0.5449,                0.28571,                0.36076,                0.22558,                0.10825,                0.07143,                 0.0144,                0.00277,                 1.6997,                 8.2755,                0.65935,                 2.7988,                 1.6713,             0.00039575,             0.00039575,             0.00039575
                     76,                  1.241,                 3.6796,                 0.2986,                0.95265,                 1.3998,                 0.5449,                0.28571,                0.36076,                0.22558,                0.10825,                0.07143,                 0.0144,                0.00277,                 1.6997,                 8.2755,                0.65935,                 2.7988,                 1.6713,             0.00038625,             0.00038625,             0.00038625
                     77,                 0.9764,                 2.5222,                0.34395,                0.59408,                 1.0108,                 0.5449,                0.28571,                0.36076,                0.22558,                0.10825,                0.07143,                 0.0144,                0.00277,                 1.6997,                 8.2755,                0.65935,                 2.7988,                 1.6713,             0.00037635,             0.00037635,             0.00037635
